Date,Hardware Identifier,What Failed,Description of Failure,Action Taken
2/1/2005 15:40,node 554,DISK,I/O Error on Drive SDC,REPLACE
2/2/2005 2:02,node 455,CPU,13 CMC Errors ,DIAGNOSTICS
2/2/2005 8:32,node 493,OS,Can't use MLIB,DIAGNOSTICS
2/3/2005 10:09,node 11,DISK,I/O Error on Drive SDC,REPLACE
2/3/2005 11:48,node 383,DISK,I/O Error on Drive SDB,REPLACE
2/3/2005 13:57,node 499,DISK,I/O Error on Drive SDF,REPLACE
2/3/2005 14:54,node 0,DISK,I/O Error on Drive SDB,REPLACE
2/3/2005 22:33,node 977,DISK,/Scratch issue ,INSTALL
2/3/2005 22:54,node 81,SCSI_BP,Closed_LIM No Response ,REPLACE
2/4/2005 12:42,node 885,CPU,80 CMC Errors ,REPLACE
2/4/2005 17:18,node 865,DISK,I/O Error on Drive SDA,REPLACE
2/5/2005 0:42,node 359,DISK,I/O Error on Drive SDB,REPLACE
2/5/2005 8:33,node 65,DIMM,34 CMC Errors ,DIAGNOSTICS
2/5/2005 12:51,node 177,CPU,98 CMC Errors ,REPLACE
2/5/2005 22:33,node 514,CABLE,"I/O Error on Drive SDD, SDE, SDF",REPLACE
2/6/2005 3:21,node 543,DISK,I/O Error on Drive SDG,REPLACE
2/6/2005 11:48,node 326,DISK,I/O Error on Drive SDC,REPLACE
2/6/2005 15:12,node 867,DIMM,33 CMC Errors ,DIAGNOSTICS
2/6/2005 20:33,node 461,CPU,24 CMC Errors ,REPLACE
2/6/2005 21:30,node 960,DISK,/Scratch: Timed Out  I/O Error pointed to the SDB Drive ,REPLACE
2/7/2005 12:12,node 460,DIMM,25 CMC Errors ,DIAGNOSTICS
2/8/2005 7:03,node 113,DISK,I/O Error on Drive SDC,REPLACE
2/9/2005 4:36,node 468,DISK,I/O Error on Drive SDB,REPLACE
2/9/2005 6:33,node 724,DIMM,472 CMC Errors,DIAGNOSTICS
2/9/2005 9:12,node 332,DIMM,38 CMC Errors,DIAGNOSTICS
2/9/2005 10:21,node 193,DISK,I/O Error on Drive SDA,REPLACE
2/9/2005 11:21,node 798,UNKNOWN,132 CMC Errors,DIAGNOSTICS
2/10/2005 5:21,node 18,DISK,I/O Error on Drive SDF,REPLACE
2/10/2005 16:36,node 623,DISK,I/O Error on Drive SDA,REPLACE
2/11/2005 4:48,node 457,DISK,I/O Error on Drive SDG,REPLACE
2/11/2005 6:12,node 452,DIMM,42 CMC Errors ,REPLACE
2/11/2005 21:48,node 293,DISK,I/O Error on Drive SDE,REPLACE
2/11/2005 18:48,Core Switch,CORE,Core Switch Blade Replacement ,REPLACE
2/12/2005 4:03,node 700,DISK,I/O Error on Drive SDB,REPLACE
2/12/2005 8:15,node 708,DISK,I/O Error on Drive SDB,REPLACE
2/12/2005 21:03,node 265,DIMM,100 CMC Errors,DIAGNOSTICS
2/12/2005 22:51,node 525,DIMM,23 CMC Errors,DIAGNOSTICS
2/8/2005 9:14,dtemp storage 01,HSV,Drive 1/5 Failure,REPLACE
2/8/2005 9:14,dtemp storage 01,HSV,Drive 1/9 Failure,REPLACE
2/8/2005 9:14,dtemp storage 06,HSV,Drive 7/6 Failure,REPLACE
2/8/2005 9:14,dtemp storage 07,HSV,Drive 11/14 Failure,REPLACE
2/9/2005 9:14,dtemp storage 15,HSV,Drive 10/5 Failure,REPLACE
2/9/2005 9:14,dtemp storage 19,HSV,Drive 10/1 Failure,REPLACE
2/9/2005 9:14,dtemp storage 20,HSV,Drive 17/2 Failure,REPLACE
2/8/2005 14:07,test node 6,DISK,Non Nagios Alert  System Reported a SCSI Chain Lost ,REPLACE
2/11/2005 18:32,node 97,DISK,Scheduled Downtime I/O Error on Drive SDF,REPLACE
2/11/2005 18:51,node 976,DIMM,Scheduled Downtime CMC Errors,REPLACE
2/11/2005 18:51,node 210,CNTLR,Scheduled Downtime SCSI Errors,REPLACE
2/11/2005 18:51,node 311,DISK,Scheduled Downtime I/O Error on Drive SDF,REPLACE
2/11/2005 18:51,node 317,DISK,Scheduled Downtime I/O Error on Drive SDF,REPLACE
2/12/2005 1:12,node 623,PLATFORM,I/O Errors Across SCSI Bus,REPLACE
2/14/2005 4:06,node 526,DISK,I/O Error on Drive SDE,REPLACE
2/14/2005 4:15,node 700,DISK,I/O Error on Drive SDB,PENDING
2/14/2005 8:06,node 842,DISK,I/O Error on Drive SDB,REPLACE
2/14/2005 8:18,node 708,DISK,I/O Error on Drive SDB,REPLACE
2/14/2005 11:03,node 475,DISK,I/O Error on Drive SDF,REPLACE
2/14/2005 16:15,node 526,DISK,I/O Error on Drive SDE,REPLACE
2/14/2005 20:36,node 717,DISK,SCSI Timeouts,PENDING
2/15/2005 9:51,node 75,DISK,I/O Error on Drive SDB,REPLACE
2/15/2005 11:42,node 934,DISK,I/O Error on Drive SDB,REPLACE
2/15/2005 11:51,node 636,CPU,95 CMC Errors,REPLACE
2/15/2005 16:33,node 256,DISK,I/O Error on Drive SDD,REPLACE
1/31/2005 13:13,backup-tape library ,LIBRARY,Failed Drive ,REPLACE
2/16/2005 21:36,node 262,DISK,I/O Error on Drive SDI,REPLACE
2/17/2005 4:18,node 35,DISK,I/O Error on Drive SDG,REPLACE
2/17/2005 12:12,node 233,DISK,I/O Error on Drive SDI,REPLACE
2/17/2005 13:18,node 186,DISK,I/O Error on Drive SDD,REPLACE
2/18/2005 7:12,node 547,DISK,I/O Error on Drive SDC,REPLACE
2/18/2005 9:33,node 826,DIMM,14 CMC Errors,DIAGNOSTICS
2/18/2005 14:48,node 871,DISK,I/O Error on Drive SDB,REPLACE
2/18/2005 20:18,node 385,DISK,I/O Error on Drive SDC,REPLACE
2/18/2005 21:30,node 975,ELAN4,"QR0N09 Elan has total 8 errors	",PENDING
2/18/2005 22:33,node 372,DIMM,40 CMC Errors,DIAGNOSTICS
2/19/2005 4:33,node 69,DISK,I/O Error on Drive SDA,REPLACE
2/19/2005 6:57,node 452,CABLE,I/O Error Across SCSI Bus ,REPLACE
2/19/2005 12:42,node 816,DIMM,15 CMC Errors ,DIAGNOSTICS
2/19/2005 22:33,node 867,DIMM,23 CMC Errors,DIAGNOSTICS
2/20/2005 2:51,node 386,CPU,20 CMC Errors ,REPLACE
2/20/2005 11:36,node 45,DISK,I/O Error on Drive SDF,REPLACE
2/20/2005 17:51,node 255,DISK,I/O Error on Drive SDB ,REPLACE
2/20/2005 23:18,node 717,ELAN4,Closed_LIM,REPLACE
2/21/2005 6:03,node 535,DISK,I/O Error on Drive SDB ,REPLACE
2/21/2005 14:12,node 191,DISK,I/O Error on Drive SDF,REPLACE
2/22/2005 2:21,node 35,DISK,I/O Error on Drive SDE  ,REPLACE
2/21/2005 15:43,cyclade server 61,UNKNOWN,Had to be rebooted so a Remote Terminal Session could continue,PENDING
2/22/2005 12:03,home storage 7,HSV,Drive 10/1 Failed,REPLACE
2/22/2005 12:03,dtemp storage 02,HSV,Drive 5/8 Failed,REPLACE
2/22/2005 12:33,node 917,DISK,I/O Error on Drive SDB,REPLACE
2/22/2005 13:34,node 717,PLATFORM,Bad SCSI Channel,REPLACE
2/22/2005 18:30,node 934,DISK,I/O Error on Drive SDB,REPLACE
2/22/2005 20:30,node 52,DISK,I/O Error on Drive SDH,REPLACE
2/23/2005 11:03,node 920,CPU,157 CMC Errors,REPLACE
2/23/2005 10:51,node 35,CNTLR,Upper DS2100 is in need of Replacement ,REPLACE
2/23/2005 13:53,node 890,MISC,LED ERROR: Battery Voltage Low,REPLACE
2/23/2005 13:53,node 699,PS,LED ERROR: Power Supply #2 Fault ,REPLACE
2/23/2005 22:21,node 337,DISK,I/O Error on Drive SDC,REPLACE
2/24/2005 0:21,node 74,DIMM,97 CMC Errors,DIAGNOSTICS
2/24/2005 10:18,node 883,DISK,I/O Error on Drive SDA,REPLACE
2/24/2005 10:18,node 195,DISK,I/O Error on Drive SDF,REPLACE
2/24/2005 11:33,node 65,DISK,I/O Error on Drive SDE,REPLACE
2/24/2005 11:33,dtemp storage 25,HSV,Drive 1/10 Failed ,REPLACE
2/24/2005 12:21,node 57,DISK,I/O Error on Drive SDG,REPLACE
2/24/2005 15:33,node 260,DISK,/Scratch Error ,MISC
2/24/2005 19:18,node 972,DISK,I/O Error on Drive  Related to the HSV30 L2 Cache Failed ,PENDING
2/24/2005 20:21,node 434,CPU,34 CMC Errors ,REPLACE
2/25/2005 21:12,node 914,FAN,FPING Critical ,REPLACE
2/26/2005 5:33,node 128,DIMM,14 CMC Errors ,DIAGNOSTICS
2/26/2005 8:36,node 266,DISK,I/O Error on Drive SDE,REPLACE
2/26/2005 12:33,node 492,DISK,I/O Error on Drive SDE,REPLACE
2/26/2005 18:45,node 912,FAN,FPING Critical,REPLACE
2/26/2005 19:15,node 446,DISK,/Scratch Error ,MISC
2/27/2005 4:42,node 768,DIMM,154 CMC Errors,DIAGNOSTICS
2/27/2005 12:21,node 865,DISK,I/O Error on Drive SDA ,REPLACE
2/28/2005 14:12,node 521,DISK,I/O Error on Drive SDG ,REPLACE
2/28/2005 18:21,node 293,DISK,I/O Error on Drive SDG ,REPLACE
3/1/2005 3:36,node 522,DISK,I/O Error on Drive SDC ,REPLACE
3/1/2005 3:42,node 527,DISK,I/O Error on Drive SDC ,REPLACE
3/1/2005 9:03,node 329,DIMM,13 CMC Errors,REPLACE
3/1/2005 11:17,dtemp storage 18,HSV,Drive 7/12 Failed,REPLACE
3/1/2005 14:27,node 80,DISK,I/O Error on Drive SDH,REPLACE
3/1/2005 17:12,node 722,DIMM,1076 CMC Errors,DIAGNOSTICS
3/2/2005 6:03,node 42,UNKNOWN,/ Scratch: can't open Scratch ,PENDING
3/2/2005 12:42,node 238,DISK,I/O Error on Drive SDE,REPLACE
3/2/2005 15:27,node 146,DISK,I/O Error on Drive SDE,REPLACE
3/3/2005 2:54,node 221,DISK,I/O Error on Drive SDE,REPLACE
3/3/2005 22:12,node 142,DISK,I/O Error on Drive SDH,REPLACE
3/4/2005 0:33,node 463,DISK,I/O Error on Drive SDI,REPLACE
3/4/2005 2:27,node 504,DISK,I/O Error on Drive SDI,REPLACE
3/4/2005 23:12,node 753,CPU,59 CMC Errors,REPLACE
3/5/2005 4:33,node 28,CABLE,I/O Error Across Lower SCSI BUS ,REPLACE
3/5/2005 10:03,node 766,CPU,160 CMC Errors ,REPLACE
3/5/2005 15:15,node 146,DISK,I/O Error on Drive SDE,REPLACE
3/7/2005 9:06,node 313,DISK,I/O Error on Drive SDI,REPLACE
3/7/2005 16:12,node 855,DIMM,52 CMC Errors,DIAGNOSTICS
3/8/2005 0:48,node 146,CNTLR,I/O Error on Drive SDE  Replace Upper DS2100,REPLACE
3/8/2005 1:03,node 246,CPU,11 CMC Errors,REPLACE
3/8/2005 4:33,node 398,PS,FPING CRITICAL ,REPLACE
3/8/2005 14:21,node 155,DIMM,97 CMC Errors ,DIAGNOSTICS
3/9/2005 3:03,node 561,DISK,I/O Error on Drive SDG,REPLACE
3/9/2005 19:42,node 574,DIMM,19 CMC Errors ,DIAGNOSTICS
3/10/2005 9:00,dtemp storage 18,HSV,Drive 7/12 Failure ,REPLACE
3/10/2005 9:01,dtemp storage 24,HSV,Drive 2/11 Failure,REPLACE
3/10/2005 9:01,dtemp storage 20,HSV,Drive 19/11 Failure,REPLACE
3/10/2005 9:02,node 278,CONSOLE,LED Error: System Firmware Hang,REBOOT
3/10/2005 9:02,node 523,CPU,LED Error:Turbo Cooler #1 ,REPLACE
3/10/2005 21:57,node 440,DISK,I/O Error on Drive SDG ,REPLACE
3/12/2005 0:57,node 329,DISK,I/O Error on Drive SDC ,REPLACE
3/12/2005 5:03,node 107,DIMM,11 CMC Errors,DIAGNOSTICS
3/12/2005 5:57,node 549,DISK,I/O Error on Drive SDG ,REPLACE
3/12/2005 6:42,node 192,DIMM,49 CMC Errors,DIAGNOSTICS
3/13/2005 0:06,node 1,DISK,I/O Error on Drive SDG,REPLACE
3/13/2005 2:51,node 80,DIMM,44 CMC Errors ,DIAGNOSTICS
3/13/2005 7:18,node 294,DISK,I/O Error on Drive SDI,REPLACE
3/14/2005 7:33,node 478,DIMM,91 CMC Errors ,REPLACE
3/14/2005 8:28,dtemp storage 18,HSV,Drive 5/10 Failure,REPLACE
3/11/2005 8:28,dtemp storage 18,HSV,Drive 7/12 Failure,REPLACE
3/11/2005 8:28,dtemp storage 20,HSV,Drive 19/11 Failure,REPLACE
3/11/2005 8:29,dtemp storage 24,HSV,Drive 2/11 Failure,REPLACE
3/14/2005 16:42,node 620,DIMM,36 CMC Errors ,DIAGNOSTICS
3/15/2005 2:21,node 214,DISK,"I/O Error on Drive SDE	",REPLACE
3/15/2005 3:12,node 388,DISK,I/O Error on Drive SDI ,REPLACE
3/15/2005 17:06,node 243,DISK,I/O Error on Drive SDG,REPLACE
3/15/2005 22:12,node 333,DIMM,21 CMC Errors,DIAGNOSTICS
3/15/2005 9:53,test node 4,PLATFORM,Drive SDI Failed ,REPLACE
3/16/2005 7:48,node 502,DISK,I/O Error on Drive SDF,REPLACE
3/16/2005 8:35,dtemp storage 23,HSV,Drive 9/4 Failed ,REPLACE
3/16/2005 8:36,dtemp storage 26,HSV,Drive 5/12 Failed ,REPLACE
3/16/2005 8:37,dtemp storage 28,HSV,Drive 5/5 Failed,REPLACE
3/16/2005 8:37,dtemp storage 28,HSV,Drive 6/3 Failed ,REPLACE
3/16/2005 8:40,home storage 7,HSV,Drive 11/10 Failed ,REPLACE
3/16/2005 10:46,node 907,DIMM,120 CMC Errors,DIAGNOSTICS
3/16/2005 18:42,node 370,DISK,I/O Error on Drive SDH,REPLACE
3/17/2005 3:48,node 934,DISK,I/O Error on Drive SDD,REPLACE
3/17/2005 5:27,node 295,DISK,I/O Error on Drive SDB,REPLACE
3/17/2005 9:40,node 354,DISK,I/O Error on Drive SDB,REPLACE
3/17/2005 9:50,dtemp storage 11,HSV,Drive 9/6 Failed ,REPLACE
3/17/2005 9:51,dtemp storage 14,HSV,Drive 6/12 Failed,REPLACE
3/17/2005 9:52,dtemp storage 32,HSV,Drive 10/12 Failed,REPLACE
3/17/2005 14:51,node 373,DIMM,28 CMC Errors,DIAGNOSTICS
3/18/2005 14:21,node 900,DISK,I/O Error on Drive SDB,REPLACE
3/18/2005 9:35,node 979,ELAN4,Quadrics Diagnostics Posted to a Failed Cable ,PENDING
3/18/2005 11:33,dtemp storage 30,HSV,Controller A in need of Replacement  ,REPLACE
3/22/2005 14:30,node 13,DISK,I/O Error on Drive SDH During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/22/2005 14:30,node 33,DISK,I/O Error on Drive SDC During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/22/2005 14:30,node 33,DISK,I/O Error on Drive SDB During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/22/2005 14:30,node 131,DISK,I/O Error on Drive SDI During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/22/2005 14:30,node 181,DISK,I/O Error on Drive SDB During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/22/2005 14:30,dtemp storage 25,HSV,Blower 1 in Controller B Failed,REPLACE
3/23/2005 9:30,node 110,DISK,I/O Error on Drive SDB During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/23/2005 9:30,node 123,DISK,I/O Error on Drive SDI,REPLACE
3/23/2005 0:10,node 130,DISK,I/O Error on Drive SDB,REPLACE
3/23/2005 9:30,node 167,DISK,I/O Error on Drive SDB,REPLACE
3/23/2005 9:30,node 180,DISK,I/O Error on Drive SDE,REPLACE
3/23/2005 11:50,node 321,CABLE,I/O Across SCSI Bus,REPLACE
3/23/2005 12:30,node 343,DISK,I/O Error on Drive SDC During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/23/2005 12:30,node 395,DISK,I/O Error on Drive SDE During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/23/2005 12:33,node 21,DIMM,25 CMC Errors ,DIAGNOSTICS
3/23/2005 12:30,node 290,CABLE,"I/O Error Across SCSI Bus, SDD, SDE, SDF ",REPLACE
3/23/2005 12:40,node 332,DISK,I/O Error on Drive SDE During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/23/2005 12:40,node 346,DISK,I/O Error on Drive SDH During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/23/2005 12:50,node 428,DISK,I/O Error on Drive SDI During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/23/2005 12:45,node 299,DISK,I/O Error on Drive SDF During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/23/2005 12:55,node 259,DISK,I/O Error on Drive SDF During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/23/2005 13:10,node 324,DISK,I/O Error on Drive SDB During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/23/2005 13:10,node 261,DISK,I/O Error on Drive SDC  During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/23/2005 13:15,node 432,DISK,I/O Error on Drive SDG During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage,REPLACE
3/23/2005 13:30,node 413,DISK,I/O Error on Drive SDC During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/23/2005 13:30,node 418,DISK,I/O Error on Drive SDH During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/23/2005 13:40,node 374,DISK,I/O Error on Drive SDH During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/23/2005 14:50,node 298,DISK,I/O Error on Drive SDI During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/23/2005 13:35,node 316,DISK,I/O Error on Drive SDH During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/23/2005 13:50,node 201,DISK,I/O Error on Drive SDI During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/23/2005 14:10,node 414,DISK,I/O Error on Drive SDC During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/23/2005 14:23,node 271,CPU,CMC Error During the Scheduled Outage for 2005 Failure possible related to Outage ,REPLACE
3/23/2005 14:45,node 252,DISK,I/O Error on Drive SDC During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/23/2005 15:46,node 214,DISK,I/O Error on Drive SDB During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/23/2005 15:46,node 240,DISK,I/O Error on Drive SDD During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage,REPLACE
3/23/2005 15:46,node 242,DISK,"I/O Error on Drive SDG, SDD During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage",REPLACE
3/23/2005 15:46,node 266,DISK,I/O Error on Drive SDB During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/23/2005 15:46,node 369,DISK,I/O Error on Drive SDH During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/23/2005 15:46,node 372,DISK,I/O Error on Drive SDH During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/23/2005 15:46,node 428,DISK,I/O Error on Drive SDH During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/23/2005 15:46,node 441,DISK,I/O Error on Drive SDB During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/23/2005 15:46,node 441,DISK,I/O Error on Drive SDI During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/23/2005 15:46,node 452,DISK,I/O Error on Drive SDA During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/23/2005 15:46,node 463,DISK,I/O Error on Drive SDD During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/23/2005 15:46,node 487,DISK,I/O Error on Drive SDD During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/23/2005 15:46,node 487,DISK,I/O Error on Drive SDB / DS2100 and External SCSI Cables and Terminator During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/23/2005 17:27,node 318,DISK,I/O Error on Drive SDE During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/23/2005 17:36,node 441,DISK,I/O Error on Drive SDB During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage,REPLACE
3/23/2005 22:12,node 401,DISK,I/O Error on Drive SDH During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/23/2005 23:57,node 319,DISK,I/O Error on Drive SDF During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/24/2005 10:36,node 320,DISK,I/O Error on Drive SDE During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/24/2005 11:42,node 536,DISK,I/O Error on Drive SDH During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/24/2005 11:43,node 538,CABLE,"I/O Error Across SCSI Chain  SDD, SDE, SDF During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ",REPLACE
3/24/2005 11:28,node 525,DISK,I/O Error on Drive SDG During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/24/2005 12:10,node 553,DISK,I/O Error on Drive SDI During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/24/2005 12:11,node 529,DISK,I/O Error on Drive SDB During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/24/2005 12:20,node 545,DISK,I/O Error on Drive SDI During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/24/2005 12:20,node 539,DISK,I/O Error on Drive SDG During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/24/2005 12:29,node 551,DISK,"/Scratch I/O Error  SDB, SDC  During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ",REPLACE
3/24/2005 12:53,node 541,DISK,I/O Error on Drive SDE During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/24/2005 13:08,node 514,CPU,Node in need of Troubleshooting ,REPLACE
3/24/2005 13:09,node 537,MISC,Node Won't POST,PENDING
3/24/2005 13:13,dtemp storage 17,HSV,Drive 2/9 Failed ,REPLACE
3/24/2005 13:13,dtemp storage 19,HSV,Drive 11/3 Failed ,REPLACE
3/24/2005 14:00,node 937,CORE,System Won't POST During the Scheduled Outage for 2005 Failure possible related to Outage ,RESEAT
3/24/2005 14:00,node 938,CORE,System Won't POST During the Scheduled Outage for 2005 Failure possible related to Outage ,RESEAT
3/24/2005 14:30,node 552,DISK,I/O Error on Drive SDG,REPLACE
3/24/2005 14:30,node 933,DISK,I/O Error on Drive SDF During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/24/2005 16:48,node 98,DISK,I/O Error on Drive SDB,REPLACE
3/24/2005 21:45,node 527,APPL,VASP Hang COE is looking into this one,REBOOT
3/24/2005 23:51,node 530,CABLE,"I/O Error on Drive(s) SDA, SDB, SDC ",REPLACE
3/25/2005 0:21,node 636,CPU,42 CMC Errors ,REPLACE
3/25/2005 1:51,node 947,CPU,26 CMC Errors  Lustre Node ,REPLACE
3/24/2005 14:00,node 538,DISK,I/O Error on Drive SDB,REPLACE
3/24/2005 15:53,node 551,CABLE,"I/O Error on Drive(s) SDA, SDC ",REPLACE
3/25/2005 11:18,node 152,DISK,I/O Error on Drive SDE,REPLACE
3/25/2005 11:51,node 554,CABLE,"I/O Error on Drive(s) SDA,SDB, SDC",REPLACE
3/25/2005 12:36,node 140,DISK,I/O Error on Drive SDE,REPLACE
3/25/2005 14:33,node 262,DIMM,14 CMC Errors ,DIAGNOSTICS
3/25/2005 15:21,node 147,DISK,I/O Error on Drive SDI,REPLACE
3/24/2005 12:40,node 506,CABLE,"I/O Error on Drive(s) SDA, SDB, SDC During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ",REPLACE
3/24/2005 12:41,node 509,DISK,I/O Error on Drive SDI During the Scheduled Outage for 2005 Failed Drive(s) possible related to Outage ,REPLACE
3/25/2005 15:57,node 538,DISK,I/O Error on Drive SDA,REPLACE
3/25/2005 21:42,node 409,UNKNOWN,34 CMC Errors ,DIAGNOSTICS
3/25/2005 22:33,node 772,CPU,67 CMC Errors ,REPLACE
3/26/2005 1:51,node 381,DIMM,50 CMC Errors,DIAGNOSTICS
3/26/2005 4:21,node 7,DIMM,132 CMC Errors,DIAGNOSTICS
3/26/2005 6:03,node 576,DIMM,32 CMC Errors,DIAGNOSTICS
3/26/2005 18:12,node 785,UNKNOWN,118 CMC Errors,DIAGNOSTICS
3/27/2005 0:51,node 494,CABLE,"I/O Error Across SCSI Bus (SDA, SDB, SDC) ",REPLACE
3/27/2005 5:12,node 719,UNKNOWN,135 CMC Errors,DIAGNOSTICS
3/27/2005 7:27,node 329,DISK,I/O Error on Drive SDE,REPLACE
3/27/2005 10:42,node 197,CPU,137 CMC Error,REPLACE
3/27/2005 11:57,node 288,CABLE,"I/O Error Across SCSI Bus (SDD, SDE, SDF) ",PENDING
3/27/2005 19:42,node 386,DISK,I/O Error on Drive SDE,REPLACE
3/28/2005 0:27,node 895,DISK,I/O Error on Drive SDA,PENDING
3/28/2005 2:03,node 318,CPU,13 CMC Errors,DIAGNOSTICS
3/28/2005 2:33,node 475,DISK,I/O Error on Drive SDB,REPLACE
3/28/2005 8:48,node 291,DISK,I/O Error on Drive SDF,INSTALL
3/28/2005 8:54,node 293,DISK,I/O Error on Drive SDE,INSTALL
3/28/2005 12:36,node 463,DISK,I/O Error on Drive SDD,REPLACE
3/28/2005 9:35,node 110,PLATFORM,Diagnostics Pointed to System Board ,REPLACE
3/29/2005 14:51,node 674,DISK,I/O Error on Drive SDA,REPLACE
3/29/2005 15:51,node 674,SCSI_BP,Now can no loger see Drive SDB,REPLACE
3/29/2005 21:03,node 339,DIMM,187 CMC Errors,DIAGNOSTICS
3/29/2005 21:33,node 157,DISK,I/O Error on Drive SDF,REPLACE
3/30/2005 14:42,node 498,DISK,I/O Error on Drive SDI,REPLACE
3/30/2005 19:27,node 484,DISK,I/O Error on Drive SDG,REPLACE
3/31/2005 5:51,node 334,DISK,I/O Error on Drive SDI,REPLACE
3/31/2005 9:48,node 232,CABLE,I/O Error on Drive SDF ,REPLACE
3/31/2005 11:21,node 406,CPU,20 CMC Errors ,DIAGNOSTICS
3/31/2005 12:28,dtemp storage 08,HSV,Drive 1/11 Failed ,REPLACE
3/31/2005 12:27,node 326,MISC,LED Error: Battery Voltage Low ,REPLACE
3/31/2005 12:29,dtemp storage 20,HSV,Drive 15/4 Failed ,REPLACE
3/31/2005 12:30,dtemp storage 21,HSV,Drive 2/11 Failed ,REPLACE
3/31/2005 12:31,dtemp storage 24,HSV,Drive 3/14 Failed ,REPLACE
3/31/2005 12:32,dtemp storage 25,HSV,Drive 1/2 Failed ,REPLACE
4/1/2005 5:12,node 964,DISK,I/O Error on Drive SDI  Lustre Node ,PENDING
4/1/2005 7:21,node 93,DISK,I/O Error on Drive SDC ,REPLACE
4/1/2005 8:48,node 468,DISK,I/O Error on Drive SDI,REPLACE
4/1/2005 10:45,node 475,DISK,I/O Error on RAID,REPLACE
4/1/2005 10:45,node 830,CPU,Node Hung ,REPLACE
4/1/2005 12:33,node 565,DISK,I/O Error on Drive SDB,REPLACE
4/1/2005 21:21,node 219,DISK,I/O Error on Drive SDH,REPLACE
